input,output
"kya,aaj khana khana hai ghar pe?","haan yaar, aaj bahar ka mood nahi hai."
"kya,tumhare ghar wale kaise hain?","sab thik hain, aap kaise ho?"
"kya,tujhe kaun si gaana pasand hai?","muze toh bohot saare gane pasand hai, aap ko kaun sa pasand hai?"
aaj kya plan hai?,kya plan? mujhe toh bas aaram karna hai.
coffee piyega?,"haan, chai ka mood nahin hai."
phone charge kar liya?,"haa, nahi toh battery zyaada kharab ho jaati."
bhook lagi?,"haan, pizza khaate hain aaj?"
movie dekhne jaate hain?,"haan yaar, koi romantic movie."
kabhi kabhi bahar jaate ho kya?,"haan, but weekend pe zyada."
traffic toh aaj aisa tha?,"haan yaar, bilkul jaam tha."
aaj kaafi kaam tha?,"haan, kaam toh aaj kaafi tha."
shaam ko kya karna hai?,"kuch nahi yaar, aaram karna hai."
aaj kya banaya hai?,aaj toh simple sabzi aur roti.
kahan jaa raha hai?,"bas, market se kuchh saman lena hai."
kal ka kya schedule hai?,kal to office jaana hai aur kaam karna hai.
woh naya song suna?,"haan, bahut mast hai."
kya kar raha hai?,"bas, phone pe game khel raha hoon."
aapki health kaisi hai?,"abhi thik hun, thodi thanda laga hai."
aap kaise ho?,maine toh bahut aram kar liya aaj.
kal kya khana banau?,kal sabzi aur dal bana lo.
kya samajh nahin aa raha?,"nahi, bas kuchh poochh raha tha."
"bhaiya,yeh kitne ka hai?",yeh ₹100 ka hai.
aaj ka weather kaisa hai?,"bahut garmi hai yaar, pizza khaane ka mood hai."
coffee bana diya?,"haan, sugar daal ke ya without?"
phone charge kar liya?,"haan, abhi 100% hai."
kya aaj office jana hai?,"nahi yaar, aaj toh weekend hai."
movie dekhne ka plan hai kya?,"haan yaar, netflix pe kuchh naya dekhte hain."
dinner ke liye kya banaya?,aaj dal chawal bana rahi hoon.
kya aaj gym jaana hai?,"nahi yaar, aaj toh aaram karna hai."
kya new phone aaya hai?,"haan yaar, aaj hi order kiya."
shopping ke liye kitne paise laye ho?,"bahut saare, kuchh bhi kharid lo."
kya exams ki preparation ho rahi hai?,"haan yaar, kaafi busy hoon."
kya aaj party mein jaa raha hai?,"haan, tum bhi aa jao."
kya tumne aaj ka newspaper padha?,"haan, aaj to bahut interesting news hai."
kya tumne lunch kiya?,"haan, ghar pe hi kiya."
kya aaj kuchh interesting ho raha hai?,"nahi yaar, ekdum boring day hai."
kya aaj kaam karne ka mood hai?,"nahi yaar, aaj aaram karna hai."
kya tumne car service karwayi?,"haan yaar, ab toh chalne layak ho gayi."
kya aaj cricket match dekhne jaaoge?,"haan, yaar, india ka match hai."
kya tumne online shopping ki?,"haan yaar, kuchh clothes order kiye."
kya tumhe aaj ka weather pasand aaya?,"haan, bahut accha hai."
aaj ka weather bahut garmi hai na?,"haan yaar, bilkul. fan chala hi raha hai!"
kaun sa movie dekhne ja raha hai?,"wo toh decide nahi kiya, koi suggestion hai?"
"chalo,chai peete hain?","haan yaar, pakka! kuch khaane ke liye bhi le aana."
yeh naya phone kaise laga?,"bahut acha hai yaar, camera quality toh mast hai."
aaj kya bana hai khaane mein?,"aaj daal makhani bana hai, chai peete ho?"
kya tum college aaye the?,"haan, lecture nahi tha, bas library me padhai karne gaya tha."
kal kya plan hai?,"kal toh bas ghar pe rehna hai, thoda aaram karna hai."
shopping ke liye kahi jaane ka plan hai?,"haan yaar, weekend pe sabzi market jana hai."
kabhi goa gaya hai?,"nahi yaar, aap kaise gaya the?"
kaise ho aap?,"main toh theek hoon, aap kaise ho?"
traffic me phanse ho?,"haan yaar, aaj to kaafi traffic hai."
kal khelne jaaoge?,"haan yaar, pakka! kabhi kabhi badminton khelne ka mann karta hai."
internet kaam nahi kar raha hai?,"haan yaar, recharge karna padhega."
weekend ke plan kya hai?,"kuch nahi, bas ghar pe aaram karna hai."
koi party ho rahi hai kya?,"nahi, aaj toh bas ghar pe hi rehna hai."
kya tumne woh movie dekhi?,"haan dekh li, mast thi na?"
kya tumne woh book padhi?,"haan padhi, bohot interesting thi!"
kuch sweet khane ka man hai?,"haan, chai ke saath ice cream khaane ka mood hai."
kaam kaise chal raha hai?,"bahut busy hai yaar, kuch khali hi nahi hai."
aaj ka weather toh bilkul bakwas hai!,"haan yaar, kahi jaana tha toh plan cancel kar diya."
kya khana banaya hai?,"kuch simple sa, aloo matar sabzi."
weekend ka plan kya hai?,"kuch nahin yaar, just chilling at home."
kya tumne woh movie dekhi?,"haan yaar, bahut mast thi!"
aaj office mein kya drama hua?,"kuch nahin, bas usual boring day."
mobile ka battery toh jaldi khatam ho gaya!,"haan yaar, kahi charging point dhoondh."
traffic toh aaj bilkul jam hai!,"haan yaar, kaafi late ho jaaoonga."
coffee piyoge kya?,"haan yaar, chai bhi banalo."
kya tumne woh news dekhi?,"haan yaar, kaafi shocking thi."
kya tumhe kuchh samajh aaya?,"bilkul nahi, confused ho gaya."
aaj ki meeting kaise rahi?,"thik thik, kuchh important decisions liye."
kya tumhe woh song pasand aaya?,"haan yaar, bahut mast tha!"
kya tumhe woh book pasand aayi?,"haan yaar, bahut interesting thi."
kya tumne woh show dekha?,"haan yaar, bahut funny tha!"
kya tumhe kuchh help chahiye?,"nahi yaar, manage kar loonga."
aaj toh bahut thak gaya!,"haan yaar, kal chutti ka intezaar kar raha hoon."
kya tumhe kya pasand hai?,"coffee, chocolate aur movies!"
kya tumhe yeh dress pasand aaya?,"haan yaar, bahut cute hai!"
kya tumhe koi problem hai?,"nahi yaar, sab thik hai."
aaj kaafi thanda hai na?,"haan yaar, chai peena chahiye."
kya tumhe film dekhne jaana hai?,"haan yaar, kal ek movie release hui hai."
kaise ho tum?,"main theek hu, tum batao."
aaj kaafi traffic hai?,"haan yaar, kya karein."
phone charger toh hai tumhare pass?,"haan yaar, le lo."
kya tum lunch karne jaa rahe ho?,"haan yaar, aao, saath chalo."
kitna time lagta hai office pahunchne mein?,around 45 minutes.
kya tumhe yaad hai?,"haan yaar, kaise bhul jaaun."
bus ka ticket kharido hoon?,"haan yaar, lekin ek hi."
kya tumhe shopping karni hai?,"haan yaar, kal market jaana hai."
kal kya plan hai?,"bas yaar, ghar pe relax karunga."
bhook lagi hai?,"haan yaar, kuchh khaane ka mann kar raha hai."
kya tumhe coffee pasand hai?,"haan yaar, black coffee."
phone charge karna hai?,"haan yaar, plug de do."
kaam khatam ho gaya?,"haan yaar, ab relax kar sakta hu."
aap ko kaise pata chala?,ek dost ne bataya tha.
aaj kaafi boring hai na?,"haan yaar, kya karein."
kya tumhe cricket pasand hai?,"haan yaar, india ka match dekhna hai."
chalo chalte hai?,"haan yaar, ek minute."
aur kya?,"bas yaar, kuchh nahi."
aaj ka mood kya hai?,"bilkul kharab, traffic mein stuck ho gaya."
khana kha liya?,"nahi yaar, abhi thodi der mein khana banayenga."
weekend plan kya hai?,"kuchh nahi yaar, bas chill karna hai."
kaise ho aap?,"theek hoon, aap kaise ho?"
aaj kya pehnu?,"kuchh casual pehno, bahar jaana hai?"
movie dekhne chale?,"haan yaar, aaj toh dekhna hi hai."
kya tumhe chai pasand hai?,"bilkul yaar, bahut!"
cricket match dekha?,"haan yaar, bahut mazedaar tha."
kaam ka pressure zyada hai?,"haan yaar, thoda time nahi mil raha."
ye kya ho raha hai?,"koi dikkat nahi hai, sab theek hai."
kal kya karne wala hai?,"kal to kuchh nahi yaar, rest karna hai."
kitni der se wait kar rahe ho?,15 minute ho gaye hain yaar.
bahar ka weather kaisa hai?,"bahut garmi hai yaar, acchha nahi lag raha."
phone charge hai?,"nahi yaar, abhi laga dena hai."
kahaan ja rahe ho?,"bus stand, ghar jaana hai."
aaj ki party kaisi thi?,"mazaa aa gaya yaar, bahut fun tha."
ye book padh li?,"abhi padh raha hoon, bahut interesting hai."
apna favourite dish kya hai?,mujhe to butter chicken pasand hai.
aaj ka mood kaisa hai?,aaj to bahut chilled mood hai yaar.
"arey yaar,yeh traffic toh aaj kahaan se aaya?","haan yaar, har roz ka scene hi hai!"
kya tu coffee pi lega?,"haan, bilkul, dil chahta hai!"
"bhai,kahaan ja raha hai tu?","office ja raha hoon, time se pehle pahunchna hai!"
aaj toh bahut garmi hai!,"haan yaar, itni garmi mein toh ac mein hi rehna chaiye!"
"beta,kya kar raha hai?","ma, homework kar raha hoon, bas 10 minutes mein ho jayega!"
"aaj bahut boring din hai,kya karu?","koi movie dekh le, kuchh entertainment ho jayega!"
"aunty,aap kaise ho?","main thik hoon, beta, tum batao!"
"kal party thi kya,tujhe dekha nahi?","haan yaar, but jaldi chala gaya, kaam tha!"
phone kahan hai?,"mehnat kar raha tha, bhool gaya!"
yeh kya hai?,"mere liye tiffin pack kiya hai, bahar khaane ka mann nahi tha!"
kaun hai?,"mere friend hai, ek minute mein aa jaata hoon!"
kaisi feeling hai?,"thodi khushi, thodi tension!"
"kya hua,itna gussa?","bus yaar, traffic mein phas gaya!"
"yaar,kya padhaai kar rahe ho?","koi padhai nahi, bas exam ki tension ho rahi hai!"
kya tu school jayega?,"haan, chalo, late ho jaayenge!"
kitna kaam hai yaar?,"bahut yaar, koi kaam khtama nahi ho raha!"
kya tu train se aaya?,"haan yaar, flight mein seat nahi mili!"
kya hua?,"bus yaar, phone kharab ho gaya!"
"kal party hai,aana?","haan yaar, definitely!"
kya kar raha hai?,"bas yaar, apni life mein busy hoon!"
aaj ka weather toh bilkul badal gaya,"haan yaar, subah toh dhoop nikal rahi thi!"
kaise hai aap?,"acha hu, aap batayiye"
kya plan hai aaj?,"aaj to bas, ghar pe chillax karna hai."
office se kab nikaloge?,"abhi kuchh der mein, traffic kaam hone laga toh."
pizza khaana hai?,"haan, aur chai bhi le aana."
weekend ka plan ban gaya?,"nahin yaar, kuchh bhi nahi socha abhi tak."
mobile charge karna toh bhul gaya?,"aarey, phone toh chala gaya toh."
shopping karne ja rahe ho?,"haan, kuchh kapde lene hain."
bus ka time ho gaya kya?,"haan, jaldhi karo."
kuchh khaana chaiye kya?,"nahi yaar, abhi pet bhara hai."
kya movie dekhni hai?,koi romantic movie dekhte hain.
kal ka paper toh gaya?,"haan yaar, abhi se tension hone lagi hai."
kaisi thi party?,"mazaa aagaya, bahut enjoy kiya."
exam ke liye ready ho?,"haan, abhi last minute revision kar rahi hun."
kab aana hai?,"kal shaam ko aajaana, party hai ghar pe."
konsi book padh rahe ho?,ek thriller book padh rahi hun.
kya khaana banaya aaj?,"aaj toh simple sa, daal chawal banaya."
kuchh help chahiye kya?,"nahin yaar, mein manage kar lunga."
kaam finish ho gaya?,"haan, abhi thoda rest kar raha hun."
kya kar rahe ho yaar?,"kuch nahi yaar, bas phone pe baat kar raha hoon."
chai peena hai kya?,"haan yaar, chai toh banta hai."
aaj kaun sa movie dekhne ja rahe ho?,"koi nahi yaar, ghar pe hi kuch alag try kar raha hoon."
kabhi-kabhi toh khushi milti hi nahi hai life mein,"haa, lekin apne aap ko khush rakhna hi padta hai na."
kaunsa song suna raha tha?,"bas, ye alag type ka song try kar raha hoon, acchi hai?"
aaj kaam ka pressure bahut hai yaar,"haan yaar, par kya kare, kaam toh karna hi padta hai."
traffic me pakde gaye?,"nahi yaar, nikal gaye time pe, abhi ghar aa raha hoon."
kitna bharti hua?,"yaar, kya bataoon, kharchi bahut ho gayi."
kisko birthday hai?,"mere bhai ki, party rakhni hai, tu bhi aana."
aaj kya banaya tumne khane mein?,"kuch special nahi, bas sabzi banayi hai."
koi party plan kar rahe ho kya?,"haan yaar, week end pe, aana tum bhi."
kaunsa book padh rahe ho?,"koi alag genre ki book try kar raha hoon, accha lag raha hai."
kya ho raha hai yaar?,"kuch nahi yaar, bas ek boring day hai."
kitni barish ho rahi hai?,"bahut yaar, gully me paani aa gaya hai."
kya plan hai aaj?,"kuch nahi yaar, ghar pe hi relax karne wala hoon."
kahan jaa rahe ho?,"bus, kaam pe ja raha hoon, abhi laut ke aata hoon."
kya khaana chahte ho?,"kuch light khaana chahta hoon, bhuk nahi lag rahi hai."
phone kitna sasta mil gaya?,"yaar, bahut discount mile, aapke liye bhi ek laa sakta hoon."
aaj kaunsi movie dekhni hai?,"koi comedy movie dekhte hai, khushi hi khushi."
kya kar rahe ho aaj?,"bas, ghar pe hi chilling kar raha hoon."
kaise ho?,"changa, tu kaise ho?"
"yaar,kya gussa aaya hai!","haan yaar, traffic mein phas gaya tha."
aaj khana kya banaya hai?,"kuch khaas nahi, dal chawal hi hai."
movie dekhne jaana hai?,"haan, koi achcha sa movie batao."
koi plans hai weekend ke liye?,"nahin yaar, bas ghar pe hi relax karna hai."
kya aaj gym gaya?,"nahin, aaj aaram kar raha hoon."
kabhi delhi jaana hai?,"haan yaar, ek baar jaana hi hai."
kya chai pee lo?,"haan, theek hai."
"yaar,kal party hai?","haan, aana toh banta hai na?"
kya music sun rahe ho?,kuchh old bollywood songs.
phone charge hai?,"haan, abhi toh hai."
kya kabhi yoga kiya hai?,"haan, kabhi-kabhi karta hoon."
cricket ka match dekha?,"haan, india jeet gaya!"
kitne paise hai tere paas?,bas thode hi.
kya baat hai!,"kuchh nahi, bas aise hi."
kya coffee pasand hai?,"haan, kafi accha lagta hai."
kal office mein kya hua?,"kuchh khaas nahi, normal day."
"bhai,kya scene hai?","chill hai, abhi ghar jaane wala hoon."
coffee chai kuchh piyoge?,"ek chai dedo yaar, garam garam."
"oye,exam kaise gaya?","bhai, bakwaas gaya, aapke jaise padhai karna padega."
aaj party hai na?,"haan yaar, shaam ko milte hain."
kitna traffic hai yaar?,"haa, yeh metro ka kya scene hai."
movie dekhne jaane ka plan hai?,"haan, kal aashiqui 3 release ho rahi hai."
ye kaise bana hai?,"bas, aise hi khana banaya, aap khao."
weekend ka plan kya hai?,"kuchh nahi, ghar pe hi relax karunga."
bus kitne baje aayegi?,aise to 10 minute mein aa jaani chahiye.
shopping karne ja rahe ho kya?,"haan, thoda kapde dekhne hain."
kya halchal hai?,"sab thik hai, aap batao."
mobile charge karna hai?,"haan yaar, meri battery bhi flat ho gayi hai."
kya khaane mein bana hai?,aaj dal chawal bana hai.
kya pata hai?,"kuchh nahi, tumhe hi batao."
kya ho gaya?,"koi nahi, bas aise hi."
kis film dekh rahe ho?,yeh netflix ka serial dekh raha hoon.
kya tumhe pata hai?,"haan yaar, mujhe to sab pata hai."
koi problem hai kya?,"haan yaar, mera laptop kharab ho gaya hai."
aaj kya kar rahe ho?,office se thoda break le raha hoon.
kaise ho aap?,"bahut accha, aap batao."
"kya yaar,traffic bahut bada hai aaj!","haa, bilkul! saare log office jaa rahe hain."
"coffee toh chaiye,na?","haan, please chai bhi ek cup laana."
"bhai,aaj ka movie bahut boring tha!","haa yaar, main to sleep hi kar gaya tha beech mein."
aaj ka dinner kya banaya hai?,bas simple sa sabzi aur dal banaya hai.
kya weekend plans hai?,"kuch nahi yaar, bas ghar pe chill karunga."
"bhai,ye phone to kharab ho gaya hai!","haan yaar, new phone le lena padhega."
yeh naya app bahut cool hai!,"haan, try kiya kya? download karle."
aaj kya shopping kiya?,bas kuch grocery aur vegetables hi liye.
kya tumhe yaad hai?,"haan yaar, kaise bhool sakta hoon!"
"bhai,ye song toh bahut jhatka hai!","haan yaar, pehle hi bahut popular hai."
kal kya exams hai?,"maths ka hai, bahut tension hai."
kya tumhe movie dekhne jaana hai?,"haan, but kaunsa movie?"
"bhai,meri health thodi kharab hai!","haan yaar, ghar pe rest karne ka plan karo."
yeh kaun hai?,yeh mera best friend hai.
kya tumhe woh book padhi?,"haan, bahut interesting thi."
kal ka weather kaisa rahega?,sunne me toh barish aane wali hai.
kya tumhe koi problem hai?,"nahi yaar, sab theek hai."
kaisa ja raha hai din?,bahut busy ja raha hai.
aaj ka party kaisa raha?,"mast tha yaar, bahut maja aaya."
aaj ka khaana kya banaya?,aloo gobi sabzi aur roti.
kaun sa movie dekh rahe ho?,"kuch nahi, bas netflix pe timepass kar raha hoon."
weekend plans kya hai?,"kya plan, bas ghar pe chill maarne ka mood hai."
kal ka exam kaise gaya?,"achcha gaya, lagta hai pass ho jaunga."
"ye kya be,itna late aa gaya?",traffic bahut jam tha yaar.
chai pee lo?,"haan, ek cup please."
phone kyun band tha?,battery dead ho gayi thi.
yeh bag kitne ka liya tha?,"2,000 rupees mein."
kabhi chai peeyenge?,"zaroor, aap batao."
kya tumne wo naya song suna?,"haan yaar, mast hai."
kya kar rahe ho?,"bas, social media pe scroll kar raha hoon."
aaj ki class kaise rahi?,"boring thi, kuchh samajh nahi aaya."
kya tumhara favourite food kya hai?,pizza yaar.
tumhara kya plan hai?,"kuch nahi, just relax karne ka mood hai."
kitna time lagta hai office jaane mein?,"45 minutes, traffic na ho toh."
kya tumne vo new restaurant try kiya?,"nahi, kaise hota hai?"
kon sa book padh rahe ho?,ek thriller novel padh raha hoon.
kaise ho?,"bas yaar, kuchh thoda bore ho raha hoon."
kya tumne kabhi cricket khela hai?,"haan, bachpan mein thoda."
kya tumne woh movie dekhi?,"haan yaar, mast thi!'."
kaise ho bhai?,"achha hun yaar, tu bata'."
coffee piyega?,"haan yaar, chai nahi?"
aaj toh khana bahut tasty tha!,"haa, tumne banaaya?',"
kal kya plan hai?,"aare, kuchh nahin, bas relax karunga'."
yeh assignment kab submit karna hai?,"next week, chill!'."
parking kahaan mili?,"wahan parking lot mein, bas aage jaao'."
konsi shop se kapde liye?,"wahan pe, corner wali shop se'."
kitne paise lagenge?,"zyada nahin, 1000 hi lagenge'."
bus kaise chali?,"waise hi, ruk jaa, aage aaja'."
"bhai,aaj kaisa weather hai?","badhiya hai, garmi nahin hai'."
kaunsa song sun raha hai?,"aare, yeh new one hai'."
kab aaya tha?,"abhi hi aaya, aao aao, andar aao'."
koi problem ho toh batao,"chill yaar, i'm fine'."
woh kya ho raha hai?,"aare, kuchh nahin, drama chal raha hai'."
aaj bahar kaise jaana hai?,"car mein chalo, nahin toh uber book kar lete hai'."
kya plan hai?,"aare, kuchh nahin, bas hang out karenge'."
kya chal raha hai?,"bas yaar, busy hu, kaam karna pad raha hai'."
kya tumhe pata hai?,"nahi yaar, batao na'."
"bhai,kaha ja raha hai?","office ja raha hoon yaar, meeting hai."
"oye,kal party hai?","haan yaar, tum toh aana hi hai na?"
"chalo,chai peete hai?","chalo yaar, aaj mujhe kuch sweet khaane ka mann hai."
"kya hua,aise kyun dikha raha hai?","bhai, kuch problem hai yaar, tension hai."
phone number de na?,"haan yaar, dekh lo."
aaj film dekhne jaana hai?,"chalo yaar, koi accha movie batao."
"yaar,kaise ho?","bas yaar, busy hu thodi."
"bhai,aaj shopping karne jaana hai?","chalo yaar, kya leke jaana hai?"
kya pakaya hai aaj?,"biryani banayi hai yaar, aaj mood tha."
"aaj party hai na,kya pehen ke jau?",kuch comfortable aur trendy pehen le yaar.
"chalo,lunch karne chalte hai?","haan yaar, mere saath office ke saare log bhi hain."
"bhai,kaise chal raha hai?","bas yaar, aise hi, tum batao kaise ho?"
phone kaise hai?,"bhai, kaam chal raha hai, abhi tak to thik hai."
kal kab aa rahe ho?,"kal shaam ko yaar, flight late hai."
aaj kya plan hai?,"aaj kuch nahi yaar, ghar pe relax karunga."
aap kaha ja rahi hai?,"main toh market ja rahi hoon, kuch grocery lene hai."
kya ho gaya tumhe?,"koi baat nahi yaar, sirf thoda headache hai."
"yaar,kya bol rahe ho?","kuch nahi yaar, bas aise hi."
kaise hain aap?,"theek hoon yaar, aap batao."
"yaar,itni garmi kaise jhelte ho?","bas, fan chala kar survive kar rahe hain."
kya aaj party mein aayega?,"haan, zyada late nahi hoga."
coffee toh peeni hai na?,"haan, meri pyaas mar rahi hai."
kya kar rahe ho yaar?,"kuchh nahi, bas phone mein scroll kar raha hoon."
"bhai,yeh movie bahut boring hai!","haan yaar, timepass ke liye hi dekh rahe hain."
"aaj kaam bahut tha,itni jaldi kyu aaya?","kuchh urgent kaam tha, abhi to aur bhi karna hai."
kal ka test kaise gaya?,"achcha gaya, umeed hai ache marks aayenge."
dinner khaane ka kya plan hai?,"bahar jaane ka mood nahi hai, ghar pe hi kuchh banayenge."
yeh book aapko kaisi lagi?,"acha laga, interesting thi."
kal movie dekhne chalenge?,"haan, bahut dino se dekhna tha."
kitne paise lage iske liye?,"thode hi lage, itna tension na lo."
aapko ye dress kaisi lagi?,"bahut beautiful, perfect fit hai."
yeh kaunsa gana hai?,"ye mera favourite gana hai, abhi bahut popular hai."
aapne new phone kyun liya?,"old phone slow ho gaya tha, yeh jaldi chalta hai."
"train miss ho gayi meri,kya karu?","abhi taxi book kar lo, time to hai."
aaj kya khaana bana rahe ho?,"aaj pasta bana rahi hoon, aapko pasand aayega."
yeh kahan se liya aapne?,"ye market se liya tha, bahut sasta tha."
kya tumhara phone charge ho gaya?,"haan, ab to aaram se use kar sakte ho."
aapko koi problem to nahi hai?,"nahi, bas thoda thaka hua hoon."
"bhai,aaj ka lunch kya hai?","aaj toh bahar khaana hai, shayad pizza."
kya tumhe kal office aana hai?,"haan, par jaldi aaungi."
aaj ka traffic toh bhaut zyada tha yaar!,"haan yaar, khud bhi fas gaya."
movie dekhne jaa rahe ho kya aaj?,"nahin yaar, aaj thoda padhai karna hai."
kya tumhe aaj raat ki party mein aana hai?,"haan yaar, definitely aaunga."
kitne marks aaye tere exam mein?,"bas pass ho gaya, kuchh zyada nahi."
kaisa laga naya phone?,"bahut acha hai yaar, battery life toh bahut mast hai."
kya aaj shopping karne jaaye?,"haan, kuchh clothes lene hain."
kabhi coffee peena hai saath mein?,"haan yaar, zarur."
kya tumhe uss movie ke bare mein pata hai?,"haan yaar, bohot mast hai."
kya aaj cricket match hai?,"haan yaar, india vs australia."
kya tumhe woh naya restaurant pasand aaya?,"haan, khana bahut delicious tha."
kitna kamal ka weather hai aaj!,"haan yaar, bohot maza aa raha hai."
kabhi baar baar aane ka?,"haan yaar, kabhi toh aana chahiye."
kya tumhe kabhi dance karna aata hai?,"haan yaar, bachpan mein sikha tha."
kya tumhe uss book ke bare mein pata hai?,"nahin yaar, kya book hai woh?"
kya tumhe internet chal raha hai?,"nahin yaar, wifi nahi chal raha."
kitne rupaiye ka hai ye?,100 rupees ka hai yeh.
kya tumhe yeh recipe pasand aayi?,"haan yaar, bohot tasty thi."
"are yaar,kya khaana banaya hai?","aaj kuch special nahi, bas simple khichdi."
aaj ka movie kaisa tha?,"bhai, bohot boring tha, time waste hi laga."
"kya chal raha hai,aaj ka plan?",aaj toh bas ghar pe hi relax karna hai yaar.
"kya hua,itna pareshaan kyon lag raha hai?","kuch nahi yaar, bas thoda stress hai."
"kaise ho yaar,kaam toh chalta hoga?","chalta hai yaar, thoda busy hoon bas."
"bhai,kaun si cafe pe gaye the tum?","wo nahin yaar, ek naya restaurant try kiya tha."
kya aaj market jaana hai tumhen?,"haan, kuch groceries leni hai."
aaj ka party kaisa raha?,"maja aaya yaar, bohot enjoy kiya."
kaam khatam ho gaya kya?,"abhi nahi yaar, thodi der aur lagne wali hai."
"phone nahi uthaya tumne,kaha the?",bahar ghoomne gaya tha yaar.
kabhi kuch interesting hota hai kya?,"hota hai yaar, bas tumhe batane ka time nahi milta."
"kitne bade ho gaye tum,yaad hai school wale din?","haan yaar, kitne din ho gaye na."
aaj kuch interesting news toh nahi?,"nahi yaar, bas same old same old."
kya tumhe coffee pasand hai?,"haan yaar, chai se bhi zyada."
kis din aana hai?,"kal aata hu yaar, kya plan hai?"
"aapko kya pasand hai,chai ya coffee?","chai pehle aati hai yaar, pyaar ki tarah."
kabhi online shopping karte ho kya?,"haan yaar, kaafi aasan hai."
aaj ka traffic kaisa tha?,"bhai, bohot bhayanak tha."
kya aapko yeh movie pasand aayi?,"nahi yaar, bohot boring thi."
kya aaj ka dinner plan hai?,"nahi yaar, kuchh aisa plan nahi hai."
koi problem hai kya?,"bas thoda stress hai yaar, work ka."
aaj party hai kya?,"nahi yaar, aaj toh padhai karni hai."
kal kya karne wala hai?,"kal toh aaram karna hai, poora din."
bus ka ticket mila kya?,"nahi yaar, aaj toh book nahi ho paya."
picture dekhne jaayega?,"haa, chal na, kab jaate hain?"
kab tak aayega?,10 minute mein toh aa jaaoonga.
kya khaaya?,"kuchh nahi yaar, just coffee peeya."
lunch kar liya?,"haan, aab toh apna kaam kar leta hoon."
ab kya kar raha hai?,"bas yaar, phone pe baat kar raha hoon."
phone charger le aaya?,"haan, yaar le aaya hu."
kya plan hai?,"nahi yaar, koi plan nahi, bas aaram karunga."
aaj ka mood kaisa hai?,"kya karu yaar, kuchh kuchh hai."
weekend kya karne wala hai?,"kuchh nahi yaar, ghar pe rehna hai."
sab theek toh hai na?,"haan, bas thoda boring hai yaar."
kuchh khana hai kya?,"haan yaar, kuchh light sa."
koi baat nahi na?,"nahi yaar, sab theek hai."
kya ho raha hai?,"bas yaar, khane ki planning kar raha hoon."
kal kaise tha?,"thik tha yaar, normal sa din tha."
"kya,lunch kar liya?","nahi yaar, abhi karunga."
"kya,office ka kaam ho gaya?","haan, abhi chill maar raha hoon."
aaj ka weather bahut majaa hai na?,"haan yaar, bahut khuli dhoop hai."
"kya,party mein aana hai?","nahi yaar, aaj toh kuch kaam hai."
koi naya movie dekhne gaya?,"haan, abhi toh bahut mast film release hui hai."
kal ka exam kaisa gaya?,"theek-thaak gaya, abhi result ka wait kar raha hoon."
"kya,shopping karne ja rahe ho?","haan, thoda sa shopping karna hai."
mobile mein kya kar rahe ho?,"kuch nahin, bas scroll kar raha hoon."
aaj kya banaya khane mein?,aaj to bahut simple sa khaana bana hai.
"kya,weekend plan bana liya?","haan, kuch friends se meet karna hai."
